,ad,area,name,price,square,type
28,花果园C区精装两房全齐，清爽出租，仅租2200拎包入住,南明-花果园,花果园C区,2200,80平米,2室2厅
29,花果园T2区 精装两房 家电全齐 为您准备了一个舒心的家,南明-花果园,花果园T2区,2400,78平米,2室2厅
30,精装修步梯5楼3室2厅全家具出租，拎包入住,小河-小河,小城故事,2000,105平米,3室2厅
31,花果园好房急租，大气温馨，拎包入住,南明-花果园,花果园R区北区,1600,40平米,1室1厅
32,小车河湿地公园！出行便捷！1700元精装两房拎包入住！,南明-花果园,花果园S2区,1700,77平米,2室2厅
33,急租都司路金岸玉都精装4房 全家具家电拎包入住  3800元,南明-都司路,金岸玉都,3800,140平米,4室2厅
34,贵开路永辉超市旁边，三室两厅，精装修，步梯二楼，拎包入住！,云岩-大营坡,锦泰家园,2000,110平米,3室2厅
35,香港城 1300元/月好楼层好位置低*价位,小河-小河,香港城,1300,79平米,2室2厅
36,绿地联盛 沃尔码旁  简单装修 3000急租,金阳-金阳,绿地联盛国际,3000,86平米,3室2厅
37,花果园M区精装修1室1卫，家电全齐，拎包入住1000每月,南明-花果园,花果园M区,1000,30平米,1室0厅
38,急租省医旁摩卡空间公寓房 精装修 全家电电梯房仅租3000,云岩-盐务街,摩卡空间,3000,60平米,1室1厅
39,大南门钻石广场大三房精装修拎包入住仅需4200,南明-大南门,钻石广场,4200,135平米,3室2厅
40,美的林城是精装修四房，家私家电全齐，拎包入住即可，年前的好房,观山湖-会展中心,美的林城时代南区,5800,130平米,4室2厅
41,会展美的旁边金融城二期 大四房毛坯出租 户型 采光都很好,观山湖-会展城,贵阳国际金融中心二期,2500,157平米,4室2厅
42,美的林城时代 精装修3房 3200出租 看房方便 拎包入住,观山湖-会展中心,美的林城时代南区,3200,120平米,3室2厅
43,金阳新区龙贤苑 简装两室 包物管 看房方便,金阳-金阳,金阳世纪城龙贤苑北区,2000,94平米,2室2厅
44,美的美的三房出租。房东急租，拎包直接入住。家电家具齐全哟，,观山湖-会展中心,美的林城时代南区,2900,116平米,3室2厅
45,好房急租 甲秀楼 新华路精装两室 全家全电 直接拎包入住,南明-大南门,新华路小区,2000,80平米,2室2厅
46,花果园M区 精装齐全 三室一厅 温馨舒适 随时看房 采光好,南明-花果园,花果园M区,2500,90平米,3室2厅
47,观山湖区 奥林花园 精装修 拎包入住 包宽带 看房方便,金阳-金阳,昆仑奥林花园,2600,97平米,2室2厅
48,榕筑鲜花广场 3室2厅2卫,小河-小河,榕筑鲜花广场,1500,100平米,3室2厅
49,金阳会展城 美的林城3室2厅1卫精装全齐 包物业拎包入住,观山湖-会展中心,美的林城时代南区,3500,115平米,3室2厅
50,花果园V区 冬天还怕冷？？两房 温暖如春 拎包入住,南明-花果园,花果园V区,1800,78平米,2室1厅
51,花果园M区，精装修，拎包入住,南明-花果园,花果园M区,2800,110平米,3室1厅
52,世纪城龙贤苑精装两改三，现在只要2800家具家电全齐带地暖。,观山湖-观山湖其他,世纪城龙贤苑,2800,89平米,2室2厅
53,中铁逸都国际  精装修    2房2厅1卫      急出租,金阳-金阳,中铁逸都国际,1400,80平米,2室2厅
54,未来方舟G1组团 南向前排精装修三房 可以随时看房,云岩-东山,中天未来方舟G1组团,3000,110平米,3室2厅
55,急租 世纪金源大酒店对面 简单装修 包物管 可办公可住家,金阳-金阳,金阳世纪城龙佑苑,2500,148平米,4室2厅
56,盛世花城精装3房双学期房全电具拎包入住仅4500临省委甲秀楼,南明-大南门,盛世花城,4500,132平米,3室2厅
57,出租 军区 南岳路 逸天城都市国际精装四房 全家全电拎包入住,南明-纪念塔,都市国际,6000,193平米,4室2厅
58,云岩区大营坡 星竹苑  精装两室，全家具家电，拎包入住！,云岩-大营坡,星竹园,1800,75平米,2室2厅
59,简装大3房 性价比高 南北通透 金源街 北京西路 交通方便,金阳-金阳,金阳世纪城龙贤苑南区,2600,126平米,3室2厅
0,出租兴关路中段临街精装步梯2楼2室2厅好房一套,南明-兴关路,兴关小区,1800,70平米,2室2厅
1,花果园北京八中学，区房精装三房全齐 直接拎包入住,南明-花果园,花果园V区,2200,100平米,3室2厅
2,花果园M区 精装修温馨两房 拎包入住,南明-花果园,花果园M区,1700,78平米,2室1厅
3,新世界碧潭园 两室两厅精装全齐拎包入住 钥匙在手随时看房,观山湖-云峰大道,新世界碧潭园,2500,90平米,2室2厅
4,实勘图片 实价 全新家私电器  已经空出 随时看房,金阳-金阳,金阳世纪城龙瑞苑,2900,158平米,4室2厅
5,金阳世纪城龙盛苑精装两房 中装2200 欢迎你的来电,金阳-金阳,ZDEX000148,2200,86平米,2室2厅
6,花果园C区 精装齐全 两室一厅 温馨舒适 采光好 拎包入住,南明-花果园,花果园C区,2500,65平米,2室1厅
7,花果园M区 3室2厅1卫,南明-花果园,花果园M区,2300,100平米,3室2厅
8,百花山路临街小2房 家具家电齐全 拎包入住 仅1400元每月,云岩-大营坡,开磷百花小区,1400,61平米,2室2厅
9,花果园J区精装两房A5户型便宜出租采光好,南明-花果园,花果园J区,1900,68平米,2室2厅
10,美的林城时代 精装修三房 家具家电全 包物业 拎包入住,观山湖-会展中心,美的林城时代南区,3800,110平米,3室2厅
11,天林花园 3室2厅 中等装修 拎包入住,白云-南湖新区,天林花园西区,2200,120平米,3室2厅
12,"观山湖一号，别墅，6室,豪华装修，带游泳池，带车位三层复式，",金阳-八匹马,观山湖一号,20000,300平米,6室2厅
13,花果园M区  一室一厅   全齐  交一押一,南明-花果园,花果园M区,1300,50平米,1室1厅
14,雅泽酒店旁边动力厂宿舍4楼2室1厅1卫出租,小河-小河转盘,动力厂宿舍,800,50平米,2室1厅
15,精装三房 金源街口 交通方便 拎包入住 采光好 随时看房,金阳-金阳,金阳世纪城龙贤苑南区,2700,126平米,3室2厅
16,花果园L区 精装齐全 兰花广场 两室一厅 采光无敌 拎包入住,南明-花果园,花果园L1区,1700,68平米,2室1厅
17,花果园S区 精装一房家私电器全齐 配套齐全,南明-花果园,花果园S1区,1000,45平米,1室1厅
18,交通方便 采光好 小区绿化好 楼下就是公交站 随时可看,金阳-金阳,金阳世纪城龙慈苑,1700,121平米,3室2厅
19,省医中山东路市东路精装三室温馨整洁干净全电具拎包住仅2500,南明-大南门,省医旁市东路小区,2500,80平米,3室1厅
20,紧急出租20平花果园S1区,南明-花果园,花果园S1区,700,20平米,1室0厅
21,金阳世纪城龙城一号精装3房出租，精装,观山湖-观山湖其他,龙城壹号,2800,116平米,3室2厅
22,花果园A南区 永辉超市附近 真精装 拎包入住,南明-花果园,花果园A南区,2500,78平米,2室1厅
23,龙泉苑中装两房现在只租2000每月 随时看房 限时房源！,金阳-金阳,金阳世纪城龙泉苑东区,2000,90平米,2室2厅
24,龙城壹号 2室2厅1卫精装 单价2200出租,观山湖-观山湖其他,龙城壹号,2200,84平米,2室2厅
25,花果园S区 财富广场 欧式豪华两房 家电全齐 拎包即住,南明-花果园,花果园S1区,1600,70平米,2室2厅
26,美的林城南区 精装修四房 房东诚心出租直接拎包入住 随时看房,观山湖-科技园,美的林城时代北区,3500,134平米,4室2厅
27,鸿基君临天下4室2厅2厅精装带部分家具家电,云岩-黔灵公园,君临天下圣庭苑,6000,180平米,4室2厅
28,中铁逸都国际A区精装大四房 家具家电齐全 直接拎包入住,金阳-金阳,中铁逸都国际,2800,120平米,4室2厅
29,百花山路 开磷医院楼上 临街3房 家具家电齐全 拎包入住,云岩-大营坡,开磷百花小区,2400,114平米,3室2厅
30,花果园精装修温馨两房 拎包入住,南明-花果园,花果园L1区,1700,68平米,2室1厅
31,陕西路黔和花园精装2房全新家具家电拎包入住仅2300临红边门,云岩-北京路,黔和花园,2300,80平米,2室2厅
32,花果园C区 精装全齐 两室一厅 温馨舒适 随时看房 拎包入住,南明-花果园,花果园C区,2500,68平米,2室1厅
33,出租 火车站沙冲路大理石路 正规2室2厅1卫全家全电拎包入住,南明-军区,大理小区17组团,1300,70平米,2室2厅
34,包物业，带车位中铁逸都A区精装4房，家具家电齐全，拎包入住~,金阳-金阳,中铁逸都国际,3200,148平米,4室2厅
35,精装写字楼拎包入住办公，房开直租全程无*,南明-花果园,花果园V区,4800,80平米,1室0厅
36,都司路河滨公园筑城广场金岸玉都精装4室2厅全家电仅租3800,南明-都司路,金岸玉都,3800,140平米,4室2厅
37,小河浦江路中兴世家四居室精装步梯房2楼带家具家电拎包入住,小河-小河,中兴世家,2500,138平米,4室2厅
38,地铁站旁 大2房精装修家电家具全齐 可直接拎包入住 繁华位置,金阳-金阳,金阳世纪城龙吉苑,3200,96平米,2室2厅
39,急租省委甲秀楼附近家电齐全一室一厅房,南明-大南门,甲秀楼社区,1300,38平米,1室1厅
40,花果园M区 精装三房 简约欧式装修 家电全齐 适合一家人居住,南明-花果园,花果园M区,2500,90平米,3室2厅
41,兰花广场！海豚广场！学期房！BRT1.5环出行便捷！精装二房,南明-花果园,花果园M区,1500,50平米,2室1厅
42,花果园国际中心精装大两房出租啦，拎包入住，温暖到家！,南明-花果园,花果园C区,1900,78平米,2室1厅
43,省委观水路盛世花城市中心的花园氧吧等您来电抢租,南明-大南门,盛世花城,4200,90平米,3室1厅
44,简等装修3室 出租 为房子而烦恼的速联系,云岩-大营坡,兰溪谷,2300,121平米,3室2厅
45,宝山南路观水路盛世花城精装三室精装全家电仅5400,南明-大南门,盛世花城,5400,130平米,3室2厅
46,出租花果园3室2厅2卫简装采光户型好1600每月有钥匙,南明-花果园,花果园A南区,1600,110平米,3室2厅
47,中铁逸都B区 2室一厅 拎包入住,金阳-金阳,中铁逸都国际,1880,53平米,2室1厅
48,花果园兰花广场 独门独户家私齐全精心标配 出行便利随时看房,南明-花果园,花果园,1500,50平米,1室1厅
49,龙凯苑中上装两房带车位出租,金阳-金阳,金阳世纪城龙凯苑东区,2550,100平米,2室2厅
50,花果园兰花广场*小公寓出租啦，实房实图，手慢木有啦,南明-花果园,花果园A北区,700,32平米,1室1厅
51,美的林城时代精装修两房，家私家电齐全，拎包入住，看房方便。,观山湖-会展中心,美的林城时代南区,2000,64平米,2室1厅
52,恒大中央广场旁 大3房中装修家电家具全齐拎包入住非常诚心租！,金阳-金阳,金阳世纪城龙锦苑,2680,130平米,3室2厅
53,会展城美的林城 3室2厅1卫 精装全齐2800每月 拎包入住,观山湖-会展中心,美的林城时代南区,2800,100平米,3室2厅
54,急租油榨街美佳假日花园小高层电梯房大户型空房适合办公,南明-油榨街,美佳假日花园,2600,150平米,3室2厅
55,花果园C区 冬天还怕冷？？两房 温暖如春 拎包入住,南明-花果园,花果园C区,2100,70平米,2室2厅
56,免费停车  油榨街 高档小区 福楼旺邸 豪装,南明-市南路,福楼旺邸二期,5300,160平米,2室2厅
57,美的林城时代，三室两厅两卫，豪装带暖气，可以温暖过冬了,观山湖-会展中心,美的林城时代南区,6800,134平米,3室2厅
58,花果园精装修温馨两房 拎包入住,南明-花果园,花果园L1区,1700,68平米,2室1厅
59,急售碧园花城三室精装修 可办公位置很好  看房子有钥匙,小河-四十四医院,碧园花城,3000,115平米,3室2厅
0,急租银通花园 精装两房 全家电 间间采光 交通便利仅2000,云岩-大营坡,银通花园,2000,90平米,2室2厅
1,每个房间都看观山湖公园，房子业主没有出租过，装修花了三十多万,观山湖-科技园,远大生态风景二期栖景湾,3500,119平米,3室2厅
2,花果园Q区 精装三房双卫 全齐精致配置 自住标准3000季付,南明-花果园,花果园Q区,3000,90平米,3室1厅
3,贵州金融城二期 90平米精装家电家具全齐 拎包入住,观山湖-会展城,贵阳国际金融中心二期,3000,96平米,2室2厅
4,一环边北京路银海元隆大户型办公空房4000元/月,云岩-黔灵公园,银海元隆广场,4000,140平米,3室2厅
5,花果园R1区 全新精装办公住宅 18块每平方 2300急租！,南明-花果园,花果园R区南区,2300,129平米,3室2厅
6,南明区观水路省委单位宿舍，精装修三房，有钥匙，随时看房。,南明-市南路,省委机关平安小区,2580,94平米,3室2厅
7,花果园湿地公园精装两室一厅急租，家电家具全齐，晚了就木有啦,南明-花果园,花果园M区,2200,90平米,2室1厅
8,花果园M的单身小公寓 可月付 只需600,南明-花果园,花果园L1区,600,25平米,1室0厅
9,出租 保利紫薇郡观景房 拎包入住 精装修 3房 只需2500,乌当-乌当,保利紫薇郡,2500,96平米,3室2厅
10,温馨小三房，功能齐全，方正客厅，空间充裕，,南明-花果园,花果园T2区,1900,89平米,3室2厅
11,花果园S区小车河公园旁 温馨两房全齐出租 1800拎包入住！,南明-花果园,花果园S2区,1800,77平米,2室2厅
12,龙泽苑 精装4房 家具家电全齐 拎包入住 随时能看房,金阳-金阳,金阳世纪城龙泽苑南区,4500,149平米,4室2厅
13,世纪城龙贤苑3房精装修带家具家电房子干净整洁+看房有钥匙,金阳-金阳,金阳世纪城龙贤苑南区,3200,120平米,3室2厅
14,北京省政府路银海元隆4室2厅2卫2阳台9000元/月急租,云岩-黔灵公园,银海元隆广场,9000,186平米,4室2厅
15,"113平米，全优的生活配套,环境优美",云岩-盐务街,天玺华庭,2500,113平米,3室2厅
16,花果园精装两房出租，兰花广场附近。只要1700元每个月,南明-花果园,花果园J区,1700,65平米,2室1厅
17,急租宝山南路经典时代花园精装三房全家具家电 仅租3000、,南明-市南路,经典时代花园广场,3000,120平米,3室2厅
18,十里江南电梯好房出租.3小房.干净清爽直接拎包入住,小河-小河转盘,十里江南,1500,86平米,3室2厅
19,急租宝山南路观水路社区精装两室带空调 全家具家电仅租1500,南明-水口寺,观水路社区,1500,80平米,2室2厅
20,花果园湿地公园各种豪华公寓、单间出租,南明-花果园,花果园A北区,800,35平米,1室1厅
21,花果园中央商务区精装一室一厅 采光好 家电全齐免费带看,南明-花果园,花果园A北区,1300,45平米,1室1厅
22,金阳二铺万科城 精装修空房1500 可按季度付,观山湖-观山湖其他,万科城,1500,77平米,3室2厅
23,绿地联盛 沃尔码旁 精装带全套家具家电  2800急租,金阳-金阳,绿地联盛国际,2800,77平米,2室2厅
24,"急租,中装3室2厅2700包物业,看房随时,拎包入住欢迎看房",观山湖-会展中心,中天会展城A区,2700,120平米,3室2厅
25,会展城 美的林城 3室2厅2卫 全新家具家电 拎包入住包物业,观山湖-科技园,美的林城时代北区,3300,99平米,3室2厅
26,花果园V区 冬天还怕冷？？两房 温暖如春 拎包入住,南明-花果园,花果园V区,1800,78平米,2室2厅
27,美的公寓一室一厅精装修房新装修家具家电齐全拎包入住,金阳-金阳,中天会展城SOHO公寓,2200,60平米,1室1厅
28,中铁逸都A区、三房洋房出租、2600价格有谈哦,金阳-金阳,中铁逸都国际,2600,126平米,3室2厅
29,美的两房，可以当三房用，家电家具全齐，租得久价格低，快来哟,观山湖-会展中心,美的林城时代南区,3000,72平米,3室2厅
30,花果园Q区仅租三房双卫，全齐出租 拎包入住，温馨清爽,南明-花果园,花果园Q区,2800,100平米,3室2厅
31,北京八中亚太中心旁 三房全齐，拎包入住 看房随时,南明-花果园,花果园V区,2300,90平米,3室2厅
32,新华路  君悦华庭  精装2居 家具家电齐全  可拎包入住,南明-纪念塔,君悦华庭,3200,98平米,2室1厅
33,花果园T区精装两房（新装修）便宜急租随时看房,南明-花果园,花果园T1区,1900,70平米,2室2厅
34,花果园B区 冬天还怕冷？？两房 温暖如春 拎包入住,南明-花果园,花果园B南区,2100,68平米,2室2厅
35,世纪城 龙盛苑 精装2房出租,金阳-金阳,金阳世纪城龙盛苑,2200,86平米,2室2厅
36,单间，单间带厨卫，廉价出租，随时看,南明-花果园,花果园L1区,700,38平米,1室0厅
37,美的旁 农家乐出租  无转让费  所以东西齐全 免费停车场,观山湖-会展中心,美的林城时代南区,25000,1200平米,6室6厅
38,会展城B区两室一厅精装修电梯房2300元急租,观山湖-会展城,中天会展城B区,2300,90平米,2室1厅
39,花果园S1区超值高性价比 看着舒心住着放心,南明-花果园,花果园S1区,800,35平米,1室1厅
40,会展城SOHO公寓 精装修3室公寓2400出租 看房方便,金阳-金阳,中天会展城SOHO公寓,2400,116平米,3室2厅
41,本人在世纪城二房三房都有不管你要的是什么样的电话打过来,金阳-金阳,金阳世纪城龙宇苑,2500,120平米,3室2厅
42,世纪城龙耀苑豪装两房带车位出租,金阳-金阳,金阳世纪城龙晖苑,3000,95平米,2室2厅
43,美的公寓97平空房，超适合办公，做美容，朝马路，还可以打广告,观山湖-会展中心,美的林城时代南区,4000,97平米,4室3厅
44,花果园K区 学校旁 精装两房 经典A5户型 温馨舒适,南明-花果园,花果园K区,2100,68平米,2室1厅
45,中铁逸都国际(公寓)3室2厅1卫(个人),金阳-金阳,中铁逸都国际,2600,126平米,3室2厅
46,2200元/月，家具电器齐全，有匙即睇！,金阳-碧海花园,黎阳家园,2200,100平米,3室2厅
47,花果园M区精装一室一厅带独立书房或客房，只需带上衣服即可入住,南明-花果园,花果园M区,1700,56平米,1室1厅
48,会展城美的林城 3室2厅1卫 精装全齐3200每月 拎包入住,观山湖-会展中心,美的林城时代南区,3200,92平米,3室2厅
49,出租C区12栋905号房 精装温馨两房 全齐 拎包入住,南明-花果园,花果园A北区,2500,80平米,2室2厅
50,花果园C区 国际中心 精装三房 温馨舒适 交通便利,南明-花果园,花果园C区,2800,90平米,3室2厅
51,会展 美的 精装两房 有车位 品质家具 工作忙碌之后的享受,观山湖-会展中心,美的林城时代南区,2800,90平米,2室2厅
52,花果园M区急租好房子，精装修拎包入住,南明-花果园,花果园M区,700,23平米,1室0厅
53,中铁逸都国际 精装两房 业主首出租 拎包入住 干净整洁,金阳-金阳,中铁逸都国际,2500,80平米,2室2厅
54,急租北京路万科公园5号140平4800元/月,云岩-北京路,万科公园5号,4800,140平米,3室2厅
55,睿力上城 两房中上装2100包物管出租,金阳-金阳,睿力上城,2100,88平米,2室2厅
56,惊爆价！！1700元/月  含物业  三房123平哦,南明-花果园,花果园S1区,1700,123平米,3室2厅
57,枫林小区 全新精装2房 适合办公  也可配家电 只租2500,云岩-大营坡,枫林小区,2500,107平米,2室2厅
58,新世界碧潭园 两室两厅精装全齐拎包入住 仅需2500每月,观山湖,金阳新世界花园,2500,80平米,2室2厅
59,花果园水世纪对面 精装三房全齐，干净温馨超好住，等你拎包来,南明-花果园,花果园B南区,2400,88平米,3室2厅
0,美的林城时代北区  精装修三房看房方便家具齐全,观山湖-科技园,美的林城时代北区,4000,134平米,4室2厅
1,精装修，高档次，可拎包入住办公，,南明-花果园,花果园V区,4800,80平米,1室0厅
2,美的公寓两室 房间干净清爽 随时看房 拎包入住 只要2千大洋,观山湖-会展中心,美的林城时代南区,2000,67平米,2室1厅
3,北京华联超市楼上  繁华地带  晚上可以看夜景,小河-小河转盘,云凯熙园,2200,100平米,3室1厅
4,出租超值2室房子超受欢迎,小河-黄河路,华阳小区,1100,72平米,2室1厅
5,2000元/月文昌北路小区全套高档家私电，设施完善,云岩-喷水池,文昌北路小区,2000,75平米,2室1厅
6,花果园Q区 122平空房 位置好 户型宽 适合会所办公,南明-花果园,花果园Q区,2100,122平米,3室2厅
7,花果园S区简装两房出租 价格实惠,南明-花果园,花果园S2区,1600,68平米,2室2厅
8,出租  黄河路北 1楼简装房,小河-黄河路,电机厂宿舍,1000,56平米,1室1厅
9,花果园K区双子塔旁3房1厅精装修家电全齐,南明-花果园,花果园k区,2200,100平米,3室1厅
10,温馨小三房，精装修，可拎包入住舒式卧室，给您有家的感觉，,南明-花果园,花果园V区,2300,89平米,3室2厅
11,富水北路省府路小区80平3房2厅2000元/月拎包入住钥匙房,云岩-小十字,省府路43号院,2000,80平米,3室2厅
12,会展城美的林城 2室1厅1卫 精装全齐2000每月 拎包入住,观山湖-会展中心,美的林城时代南区,2000,64平米,2室1厅
13,金阳新区，简装3房，房东着急出租，3房只租1500,金阳-碧海花园,碧海红湖,1500,130平米,3室3厅
14,好房急租 宝山南路 省医 辉煌小区中装三房 全家全电拎包入住,南明-蟠桃宫,辉煌小区,1800,69平米,3室1厅
15,世纪城龙晖苑 154四房 60万的豪华装修 欢迎来电看房,金阳-金阳,金阳世纪城龙晖苑,5000,154平米,4室2厅
16,美的林城  豪华装修 带地暖 183平7000元,观山湖-会展中心,美的林城时代南区,7000,183平米,4室2厅
17,太慈桥新王付，三室一厅，拎包入住，很省心,南明-太慈桥,新王府,2500,97平米,3室2厅
18,甲秀楼 护国路 文昌南路 温馨两房 采光好 拎包入住,南明-大南门,护国路商住楼,1700,80平米,2室2厅
19,整租花果园M区兰花广场旁3房2厅100平家电全齐,南明-花果园,花果园M区,2300,100平米,3室2厅
20,市南路贵钢虹桥小区合力超市旁精装2房2厅6楼拎包入住1200,南明-市南路,贵钢虹桥状元小区,1200,60平米,2室2厅
21,急租宝山北路单身公寓摩卡空间复式楼一室一厅家电齐全拎包入住随,云岩-盐务街,摩卡空间,3200,60平米,1室1厅
22,花果园R区 正规中等装修 让您一见倾心,南明-花果园,花果园R区北区,1499,40平米,1室0厅
23,盐务街宅吉小区 3室2厅1卫,云岩-盐务街,宅吉小区,4000,130平米,3室2厅
24,大营路筑兴巷口60平2房1厅东西全齐拎包入住,云岩-大营坡,筑兴社区,1300,60平米,2室2厅
25,花果园V区精装修，拎包入住,南明-花果园,花果园V区,700,23平米,1室0厅
26,盐务街六中宿舍简装1室1厅家具齐全钥匙房拎包入住,云岩-盐务街,盐务街农行宿舍,1000,40平米,1室1厅
27,花果园M区 2室2厅1卫  拎包入住,南明-花果园,花果园M区,2000,70平米,2室2厅
28,房东急租花果园精装大三房家电全齐,南明-花果园,花果园M区,2200,89平米,3室1厅
29,鲜花广场 适合家用 家具齐全 三房两厅  可拎包入住,小河-小河,榕筑鲜花广场,1500,100平米,3室2厅
30,花果园一期前排 精装三房 空房出租 用途广泛 物美价廉,南明-次南门,花果园一期,2800,112平米,3室2厅
31,花果园 家私齐全 高楼层看湿地公园 看房方便,南明-花果园,花果园A北区,1000,47平米,1室1厅
32,美的三房，精装修，家电家具全齐，还有马桶哟，现在只要3000,观山湖-会展中心,美的林城时代南区,3000,110平米,3室2厅
33,户型方正，采光好，三房户型，小区环境好,观山湖-观山湖其他,万科城,1800,77平米,3室2厅
34,文昌南路  亨特国际 精装两居  家具家电齐全 3200 拎,南明-大南门,亨特国际,3200,80平米,2室1厅
35,花果园M区三房房东诚心出租  拎包入住,南明-花果园,花果园M区,2100,88平米,3室2厅
36,房子是小户型的两室一厅的，家具家电基本齐全,金阳-金阳,阳光香榭花园,1500,60平米,2室1厅
37,宝山南路在水一方团坡桥精装两室全家具家电仅1600观南明河,南明-蟠桃宫,贵钢团坡桥小区,1600,78平米,2室1厅
38,美树阳光精装2房家具家电齐全拎包入住,南明-沙冲路,美树阳光,1400,84平米,2室2厅
39,南明区纪念塔新华路附近兴隆西巷60平米拎包入住1500元,南明-纪念塔,新华路附近民宅,1500,60平米,2室1厅
40,花果园F区，购物中心边上的精装温馨公寓，带空调仅1500,南明-花果园,花果园E区,1500,40平米,1室1厅
41,绿地联盛 沃尔码旁 精装带全套家具家电 朝南1800急租,金阳-金阳,绿地联盛国际,1800,55平米,2室1厅
42,花果园C区雅园附近独门独户一室一厅,南明-花果园,花果园C区,1400,60平米,1室1厅
43,花果园S2区 2室1厅1卫,南明-花果园,花果园S2区,1900,68平米,2室1厅
44,交通方便 采光好 小区绿化好 楼下就是公交站 随时可看,金阳-金阳,金阳世纪城龙福苑北区,2500,125平米,3室2厅
45,"登高小区好装修2房全家电,物管便宜停车方便",云岩-盐务街,登高小区,1300,75平米,2室1厅
46,万科城3室2厅1卫(个人),观山湖-观山湖其他,万科城,2500,88平米,3室2厅
47,花果园一期 前排观湖 精装三房空房 办公居家开会所,南明-花果园,花果园一期,3200,100平米,3室2厅
48,花果园好房急租拎包入住，可月付,南明-花果园,花果园B北区,500,22平米,3室1厅
49,出租宝山南路 水口寺 观水路附近精装两房 全家全电 拎包入住,南明-水口寺,观水路社区,1500,52平米,2室1厅
50,花果园C区 拎包入住 家电全齐,南明-花果园,花果园C区,1400,60平米,2室1厅
51,"万科城C区高档家私电,设施完善",观山湖-观山湖其他,万科城,1700,68平米,2室1厅
52,花果园V区精装修，拎包入住,南明-花果园,花果园V区,500,22平米,1室0厅
53,花果园U区 全齐三房 拎包入住 只要1500.,南明-花果园,花果园U2区,1500,90平米,3室2厅
54,花果园湿地公园旁精装一室一厅仅租1000随时看房仅限一天,南明-花果园,花果园A南区,1000,50平米,1室1厅
